Size and Ret212,Small Size  & Low Ret212,Small Size  & 2 Ret212,Small Size  & 3 Ret212,Small Size  & 4 Ret212,Small Size  & High Ret212,2 Size  & Low Ret212,2 Size  & 2 Ret212,2 Size  & 3 Ret212,2 Size  & 4 Ret212,2 Size  & High Ret212,3 Size  & Low Ret212,3 Size  & 2 Ret212,3 Size  & 3 Ret212,3 Size  & 4 Ret212,3 Size  & High Ret212,4 Size  & Low Ret212,4 Size  & 2 Ret212,4 Size  & 3 Ret212,4 Size  & 4 Ret212,4 Size  & High Ret212,Big Size  & Low Ret212,Big Size  & 2 Ret212,Big Size  & 3 Ret212,Big Size  & 4 Ret212,Big Size  & High Ret212
199207,-36.04,-1.18,14.62,29.89,123.69,-25.9,-1.33,14.04,29.09,94.64,-23.78,-0.83,15.42,30.02,80.36,-19.47,0.63,14.57,29,72.09,-20.58,0.6,14.64,28.71,61.05
199208,-41.21,-7.51,7.53,21.8,105.92,-31.59,-7.45,8.22,22.54,76.91,-32.36,-7.19,8.46,22.26,69.49,-27.4,-6.65,8.65,21.42,58.65,-25.28,-6.17,8.23,22.03,45.25
199209,-41.42,-7,9.53,24.49,103.2,-32.32,-6.18,9.59,24.03,74.95,-29.96,-6.08,10.13,24.48,71.15,-27.91,-6.01,9.28,23.47,55.8,-22.37,-5.53,9.8,23.82,49.56
199210,-41.97,-7.33,8.55,21.63,95.43,-34.34,-7.52,8.4,21.39,67.42,-29.17,-7.1,8.92,21.17,63.31,-30.3,-4.92,9.35,21.23,53.7,-25.77,-6.54,8.77,20.96,45.19
199211,-41.85,-6.66,7.8,20.9,94.46,-36.58,-7.12,7.77,21.74,67.64,-28.54,-5.77,7.93,21.67,64.27,-26.76,-5.44,7.61,21.09,56.77,-24.26,-5.9,8.23,21.47,47.46
199212,-38.22,-0.38,14.22,28.91,112.03,-30.77,1.02,14.38,28.7,84.66,-26.19,0.23,15.16,28.22,79.01,-20.12,0.68,14.81,28.1,72.51,-21.3,1.82,14.09,28.97,61.07
199301,-39.76,-4.27,9.55,24.33,117.62,-30.96,-3.2,10.01,24.21,80.99,-29.65,-2.63,9.82,23.66,75.78,-22.43,-2.8,10.66,23.05,75.18,-22.73,-2.25,8.62,23.05,57.78
199302,-42.46,-5.53,9.66,22.78,103.07,-35.78,-5.58,9.69,22.64,69.75,-31.58,-4.4,9.33,23.86,67.55,-22.46,-4.76,10.27,23.06,61.37,-26.21,-3.74,10.85,21.83,49.1
199303,-41.74,-5.43,9.74,22.8,103.8,-35.26,-5.25,9.72,22.75,69.07,-27.91,-5.13,10.23,23.11,65.34,-24.54,-4.65,10.62,22.75,61.61,-24.62,-3.93,10.86,21.82,49.82
199304,-40.81,-4.46,11.73,27.8,99.52,-29.9,-3.79,13.01,27.16,81.44,-30.27,-4.27,12.78,28.14,71.59,-25.55,-2.8,12.24,27.7,69.88,-22.71,-3.16,12.73,27.16,54.66
199305,-37.11,-0.32,16.04,32.27,108.79,-25.83,0.27,16.09,32.31,87.93,-27.08,0.33,16.91,31.58,88.54,-20.58,0.41,16.62,31.79,83.49,-19.33,0.83,16.65,30.96,67.67
199306,-37.93,-1.87,13.34,27.79,96.45,-28,-2.88,14.08,27.4,83.48,-29.91,-1.21,13,26.52,79.66,-22.68,-1.11,14.16,27.66,79.95,-23.56,-0.79,14.05,27.59,63.7
199307,-31.56,3.88,18.36,34.03,109.05,-22.48,4.19,18.71,34.19,108.72,-19.5,5.14,19.71,33.41,94.46,-15.69,5.92,18.87,33.63,97.91,-16.49,5.89,18.57,33.7,84.96
199308,-34.16,-0.11,15.39,31.24,110.61,-25.75,0.92,14.94,31.66,98.83,-23.67,0.35,15.32,30.77,90.37,-21.95,1.07,15.42,30.53,93.47,-18.72,1.41,14.92,30.3,75.98
199309,-32.72,3.03,19.09,36.44,127.12,-23.1,3.2,18.93,35.46,110.04,-23.79,2.82,19.2,36.32,99.67,-22.42,3.62,19.42,34.91,96.78,-19.84,3.83,19.24,35.14,99.57
199310,-31.52,4.67,20.33,38.75,130.02,-21.72,5.79,21.07,37.96,126.11,-21.99,6.03,21.07,38.75,103.17,-18.63,6.11,21.55,38.55,101.37,-16.66,5.92,21.35,37.93,103.97
199311,-34.02,2.69,19.55,37.74,128.49,-24.24,3.65,19.93,37.47,120.78,-23.56,3.49,19.61,37.56,117.07,-22.7,3.83,19.05,37.38,94.59,-18.64,2.74,19.63,36.31,99.57
199312,-35.58,-0.41,15.51,33.75,122.23,-26.11,-0.22,15.62,32.86,113.4,-23.75,0.31,15.83,31.75,100.6,-24.9,0.22,15.19,32.92,86.15,-19.75,0.07,15.14,32.19,79.6
199401,-37.67,-4.14,9.46,24.12,104.33,-27.84,-4.23,9.84,23.71,90.99,-25.38,-2.77,9.86,22.69,83.69,-25.78,-3.5,9.4,22.48,64.93,-21.76,-2.9,9.45,23.7,65.73
199402,-38.1,-3.76,9.07,22.88,97.08,-26.7,-3.38,9.56,22.51,81.38,-24.09,-2.81,8.9,22.45,78.71,-24.22,-3.04,8.86,21.45,60.67,-20.78,-3.29,9.17,22.14,62.79
199403,-33.86,-1.49,10.49,27.12,105.67,-23.51,-1.08,10.3,27.49,97.65,-19.29,-1.06,10.23,25.75,88.92,-17.06,-1.97,10.67,27.46,70.28,-16.06,-1.61,10.62,26.71,72.32
199404,-36.13,-5.7,6.6,22.35,93.96,-24.91,-5.55,6.36,22.31,85.28,-21.29,-6.29,6.7,21.6,84.41,-21.45,-5.57,6.01,21.91,60.17,-18.23,-5.95,5.93,20.65,65.98
199405,-36.75,-6.5,4.66,20.02,84.47,-24.36,-6.01,4.04,20.02,77.15,-23.07,-6.43,4.13,20.28,70.74,-22.02,-6.14,4.12,18.69,62.18,-18.56,-5.83,4.37,18.57,60.59
199406,-39.92,-8.08,3.18,16.7,72.54,-31.12,-8.53,2.4,16.39,68.44,-24.87,-7.12,2.73,17.68,65.1,-24.74,-7.05,3.03,16.36,60.98,-23.82,-7.69,2.73,15.45,49.35
199407,-40.79,-9.48,1.73,15.95,69.9,-30.32,-8.84,1.53,15.78,61.66,-25.4,-9.58,2.1,15.13,64.87,-24.66,-9.02,2.04,15.55,52.39,-22.96,-8.61,1.54,14.73,45.25
199408,-43.3,-11.49,-0.04,12.88,60.16,-32.19,-10.96,-0.04,12.22,55.4,-28.93,-11.57,0.37,13.29,51.12,-26.74,-11.6,0.37,11.9,42.92,-24.85,-10.22,0.31,11.88,37.17
199409,-43.99,-12.26,-1.47,11.39,58.37,-32.26,-12.18,-1.65,11.47,52.42,-31.53,-12.48,-1.34,11.23,47.43,-28.9,-12.21,-1.58,11.5,43.6,-26.43,-12.45,-1.19,11.74,37.95
199410,-42.29,-9.38,2.29,16.6,65.24,-30.84,-10.35,2.76,16.12,63,-28.65,-9.59,2.43,16.82,58.07,-25.62,-9.65,2.48,16.66,53.75,-23.02,-9.14,2.01,16.39,44.26
199411,-44.03,-12.5,-0.79,12.63,60.91,-33.65,-12.88,-0.42,12.99,55.88,-30.8,-12.52,-1.64,12.29,56.76,-28.24,-12.63,-1.65,12.95,52.93,-25.38,-11.49,-0.39,13.11,39.17
199412,-42.85,-9.74,1.54,15.4,67.55,-32.29,-9.43,1.71,15.37,66.09,-29.96,-9.42,1.33,15.5,63.68,-27.47,-9.29,1.93,15.12,52.81,-22.17,-9.21,2.31,15.31,39.98
199501,-47.81,-16.4,-5.3,6.33,55.83,-37.29,-16.44,-5.69,7.07,56.46,-36.27,-15.99,-5.36,5.95,50.49,-32.45,-15.27,-5.04,6.38,38.27,-28.77,-15.8,-5.23,6.36,28.26
199502,-50.12,-17.51,-6.08,4.43,50.31,-41.05,-17.12,-6.05,4.16,46.52,-38.03,-16.19,-5.86,3.95,43.88,-34.33,-17.07,-6.44,4.3,35.21,-30.68,-16.83,-5.82,4.8,23.73
199503,-47.64,-15.49,-3.7,7.09,53.54,-39.78,-14.83,-3.71,7.25,43.91,-35.05,-15.78,-3.88,7.1,43.53,-33.88,-14.83,-3.09,7.79,34.08,-28.28,-15.13,-2.91,7.92,27.27
199504,-42.93,-8.08,4.02,15.05,64.45,-33.13,-7.43,4.58,15.38,61.96,-27.82,-7.19,4.71,15.61,56.18,-26.37,-6.88,4.73,14.79,47.69,-21.14,-7.05,4.91,14.7,38.69
199505,-40.86,-6.39,5.32,16.1,68.04,-30.31,-6.23,4.97,15.99,68.39,-27.06,-6.65,4.65,16.46,62.06,-24.7,-5.32,4.92,15.84,52.64,-21.47,-5.67,4.98,17.56,44.48
199506,-38.74,-4.38,7.48,19.26,72.22,-28.67,-4.34,7.39,18.45,73.67,-25.23,-2.98,7.07,18.17,67.66,-21.99,-4.19,7.3,18.37,64.63,-19.64,-3.64,7.74,18.34,48.96
199507,-33.89,0.19,12.36,24.99,87.18,-23.74,0.63,13.07,24.76,88.71,-19.35,0.89,12.81,24.52,76.78,-17.04,1.69,13,24.38,78.97,-15.58,0.71,12.72,24.85,58.3
199508,-33.98,-0.04,11.7,24.98,94.95,-23.07,-0.23,11.51,24.57,97.78,-18.27,0.34,11.93,24.9,103,-18.28,0.06,12.02,24.47,87.26,-13.11,-0.02,11.31,24.05,64.54
