Date,Mkt-RF,SMB,HML,RF,UMD,STREV,LTREV
195001,1.7,3.36,0.14,0.09,-2.32,0.76,2.31
195002,1.48,0.04,-0.81,0.09,1.36,1.1,0.06
195003,1.26,-1.41,-2.77,0.1,1.54,0.96,-0.65
195004,3.94,1.99,1.34,0.09,0.33,2.08,2.88
195005,4.31,-2.12,0.46,0.1,0.38,-1,-2.9
195006,-5.94,-2.38,-0.78,0.1,-1.66,0.96,-3.12
195007,1.36,0.51,13.66,0.1,-0.47,0.75,7.5
195008,4.85,0.73,-1.41,0.1,3.21,5.36,-3.14
195009,4.81,0.57,-1.11,0.1,-0.13,0.31,0.36
195010,-0.18,-0.58,1.44,0.12,1.42,2.68,-0.64
195011,2.76,-0.84,3.17,0.11,3.59,1,0.79
195012,5.54,1.49,7.23,0.11,4.97,-5.7,7.4
195101,5.7,1.73,3.72,0.13,2,2.99,2.63
195102,1.41,0.09,-2.83,0.1,-1.58,2.53,-3.19
195103,-2.15,-0.64,-4.22,0.11,-2.95,-0.39,-2.87
195104,4.86,-1.49,3.28,0.13,6.02,1.74,-0.25
195105,-2.34,-0.01,-1.33,0.12,-0.93,1.87,-1.65
195106,-2.62,-1.95,-3.96,0.12,-2.39,-1.87,-4.56
195107,6.94,-1.92,1.91,0.13,7.24,4.08,1.09
195108,4.27,0.84,0.25,0.13,1,0.13,-0.59
195109,0.7,1.88,0.64,0.12,0.56,1.3,1.31
195110,-2.53,-0.28,0.24,0.16,-0.31,2.39,-0.57
195111,0.57,-0.44,0.26,0.11,0.63,1.08,-0.39
195112,3.33,-2.06,-1.93,0.12,1.7,1.42,-2.14
195201,1.45,-0.76,1.82,0.15,1.37,1.83,-0.99
195202,-2.62,0.67,-0.22,0.12,-0.75,1.1,0.93
195203,4.44,-3.02,2.21,0.11,1.65,0.6,-2.4
195204,-4.97,0.38,0.25,0.12,-2.04,0.4,1.78
195205,3.2,-1.06,0.2,0.13,0.49,1.55,-1.84
