Date,Small Size  & Low Ret212,Small Size  & 2 Ret212,Small Size  & 3 Ret212,Small Size  & 4 Ret212,Small Size  & High Ret212,2 Size  & Low Ret212,2 Size  & 2 Ret212,2 Size  & 3 Ret212,2 Size  & 4 Ret212,2 Size  & High Ret212,3 Size  & Low Ret212,3 Size  & 2 Ret212,3 Size  & 3 Ret212,3 Size  & 4 Ret212,3 Size  & High Ret212,4 Size  & Low Ret212,4 Size  & 2 Ret212,4 Size  & 3 Ret212,4 Size  & 4 Ret212,4 Size  & High Ret212,Big Size  & Low Ret212,Big Size  & 2 Ret212,Big Size  & 3 Ret212,Big Size  & 4 Ret212,Big Size  & High Ret212
195602,6.91,7.99,8.51,8.46,7.69,20.73,20.61,20.71,19.73,19.59,46.31,46.99,46.07,44.73,42.78,103.04,112.01,103.18,105.81,94.4,364.05,316.49,711.86,620.92,1331.45
195603,7.54,7.51,8.22,9.03,8.06,21.66,21.15,20.43,20.95,19.77,47.1,49.4,46.56,46.59,44.59,105.93,120.32,103.39,100.5,105.77,312.63,384.6,720.31,525.66,1426.27
195604,7.2,8.91,8.17,9.33,7.78,21.45,21.97,22.13,21.74,21.07,49.35,47.83,48.5,51.4,47.29,107.78,124.4,112.1,109.59,111.07,318.75,400.93,619.7,667.05,1549.89
195605,7.07,8.69,8.17,8.83,8.44,22,20.16,22.14,22.51,21.48,48.19,50.14,48.7,47,48.89,107.61,124.79,111.45,112.87,109.42,338.5,727.92,553.61,762.23,1225.56
195606,6.92,8.08,7.88,7.84,8.24,20.79,20.22,21.05,20.01,21.28,46.82,47.44,45.71,48.24,47.29,103.12,120.17,110.03,99.97,111.68,340.21,626.51,709.52,560.24,1417.6
195607,7.41,7.59,7.87,8.31,8.16,20.77,20.76,20.47,21.71,20.77,47.92,49.25,47.53,48.68,48.43,108.11,115.12,118.79,109.5,110.35,400,688.47,771.18,813.19,1065.92
195608,7,7.75,8.77,9.04,8.13,21.26,21.8,21.73,21.22,22.23,50.53,46.56,52.31,49.3,51.86,114.6,119.07,115.93,115.03,117.71,439.81,718.11,950.36,962.67,842.91
195609,6.61,8.11,8.6,8.31,9.3,20.93,20.47,21.87,20.16,22.84,47.07,47.22,48.93,50.76,49.61,107.9,114.73,119.61,103.63,116.91,433.34,720.14,945.35,675.34,1032.06
195610,6.77,8.36,7.54,8.9,7.84,20.17,20.74,19.7,21.3,20.45,45.37,46.54,47.81,45.36,47.09,103.17,108.1,114.86,107.21,104.81,592.28,865.42,714.89,734.66,804.59
195611,6.85,8.15,7.9,7.56,8.67,19.66,21.21,20.41,20.18,20.62,43.67,46.39,47.79,47.79,46.67,97.67,108.02,111.55,110.5,105.68,963.63,655.19,746.79,911.13,659.86
